,fname,width,slice
34110,file1000216.h5,400,12
34111,file1001546.h5,400,25
29344,file1000693.h5,368,24
29345,file1001888.h5,368,21
29346,file1001006.h5,368,21
29347,file1001209.h5,368,26
29348,file1000403.h5,368,28
29349,file1000351.h5,368,15
29350,file1002444.h5,368,10
29351,file1000131.h5,368,7
29352,file1002097.h5,368,10
29353,file1000738.h5,368,15
29354,file1000682.h5,368,22
29355,file1000875.h5,368,30
29356,file1001023.h5,368,23
29357,file1000508.h5,368,0
29358,file1001342.h5,368,29
29359,file1000637.h5,368,5
20256,file1000510.h5,368,0
20257,file1001767.h5,368,15
20258,file1000836.h5,368,7
20259,file1000289.h5,368,29
20260,file1000408.h5,368,23
20261,file1000632.h5,368,5
20262,file1001672.h5,368,18
20263,file1000021.h5,368,5
20264,file1000371.h5,368,27
20265,file1002056.h5,368,1
20266,file1001155.h5,368,8
20267,file1000039.h5,368,13
20268,file1000262.h5,368,28
20269,file1002049.h5,368,1
20270,file1000486.h5,368,22
20271,file1001711.h5,368,13
22576,file1001183.h5,368,30
22577,file1001206.h5,368,32
22578,file1001355.h5,368,25
22579,file1001098.h5,368,0
22580,file1002568.h5,368,36
22581,file1000695.h5,368,13
22582,file1002048.h5,368,33
22583,file1000408.h5,368,2
22584,file1001998.h5,368,31
22585,file1002130.h5,368,37
22586,file1000424.h5,368,33
22587,file1001005.h5,368,29
22588,file1000066.h5,368,19
22589,file1000550.h5,368,33
22590,file1000210.h5,368,8
22591,file1001432.h5,368,1
28560,file1002368.h5,368,8
28561,file1001424.h5,368,36
28562,file1000210.h5,368,17
28563,file1002037.h5,368,13
28564,file1000974.h5,368,37
28565,file1000285.h5,368,9
28566,file1001304.h5,368,34
28567,file1002276.h5,368,5
28568,file1000390.h5,368,23
28569,file1001109.h5,368,13
28570,file1000611.h5,368,40
28571,file1002492.h5,368,9
28572,file1002037.h5,368,33
28573,file1001901.h5,368,3
28574,file1002381.h5,368,17
28575,file1000138.h5,368,2
9808,file1000995.h5,372,11
9809,file1001309.h5,372,2
9810,file1002229.h5,372,11
9811,file1002476.h5,372,27
9812,file1002231.h5,372,19
9813,file1002517.h5,372,23
9814,file1002022.h5,372,8
9815,file1000301.h5,372,40
9816,file1002171.h5,372,9
9817,file1001665.h5,372,0
9818,file1002353.h5,372,14
9819,file1000416.h5,372,14
9820,file1001685.h5,372,2
9821,file1001334.h5,372,9
9822,file1001203.h5,372,13
9823,file1000988.h5,372,5
2976,file1001698.h5,372,24
2977,file1000985.h5,372,24
2978,file1001360.h5,372,12
2979,file1001393.h5,372,3
2980,file1001915.h5,372,23
2981,file1000070.h5,372,3
2982,file1000612.h5,372,23
2983,file1001037.h5,372,35
2984,file1001580.h5,372,2
2985,file1001953.h5,372,11
2986,file1001149.h5,372,25
2987,file1000043.h5,372,7
2988,file1001149.h5,372,35
2989,file1001256.h5,372,12
2990,file1002128.h5,372,22
2991,file1002343.h5,372,21
13232,file1001550.h5,322,4
13233,file1001353.h5,322,5
13234,file1002246.h5,322,5
13235,file1000492.h5,322,23
13236,file1001216.h5,322,29
13237,file1002078.h5,322,15
13238,file1001908.h5,322,26
13239,file1000311.h5,322,28
13240,file1000954.h5,322,4
13241,file1002246.h5,322,10
13242,file1002549.h5,322,1
13243,file1001908.h5,322,22
13244,file1001550.h5,322,18
13245,file1000311.h5,322,17
13246,file1002107.h5,322,23
13247,file1000492.h5,322,17
9632,file1002497.h5,372,13
9633,file1001799.h5,372,19
9634,file1001496.h5,372,13
9635,file1000123.h5,372,32
9636,file1000012.h5,372,3
9637,file1000225.h5,372,3
9638,file1000517.h5,372,25
9639,file1000043.h5,372,31
9640,file1001261.h5,372,2
9641,file1001094.h5,372,17
9642,file1002491.h5,372,8
9643,file1002244.h5,372,0
9644,file1000824.h5,372,8
9645,file1001193.h5,372,12
9646,file1001572.h5,372,30
9647,file1000401.h5,372,29
26512,file1001742.h5,368,0
26513,file1001814.h5,368,39
26514,file1002098.h5,368,32
26515,file1000170.h5,368,32
26516,file1002189.h5,368,9
26517,file1002064.h5,368,28
26518,file1001460.h5,368,11
26519,file1000148.h5,368,33
26520,file1002118.h5,368,22
26521,file1000540.h5,368,26
26522,file1000483.h5,368,5
26523,file1000790.h5,368,21
26524,file1002071.h5,368,31
26525,file1001424.h5,368,28
26526,file1001993.h5,368,7
26527,file1000627.h5,368,21
30912,file1001991.h5,368,30
30913,file1000633.h5,368,13
30914,file1001814.h5,368,16
30915,file1002099.h5,368,22
30916,file1000922.h5,368,13
30917,file1001023.h5,368,6
30918,file1002544.h5,368,28
30919,file1000983.h5,368,2
30920,file1000148.h5,368,16
30921,file1002473.h5,368,9
30922,file1002352.h5,368,21
30923,file1001969.h5,368,3
30924,file1001993.h5,368,25
30925,file1001945.h5,368,25
30926,file1000233.h5,368,17
30927,file1001479.h5,368,29
32192,file1000693.h5,368,12
32193,file1001888.h5,368,11
32194,file1000691.h5,368,35
32195,file1001295.h5,368,2
32196,file1001615.h5,368,30
32197,file1001277.h5,368,37
32198,file1001470.h5,368,1
32199,file1002190.h5,368,6
32200,file1001459.h5,368,9
32201,file1002089.h5,368,20
32202,file1000010.h5,368,24
32203,file1002388.h5,368,18
32204,file1001470.h5,368,24
32205,file1000785.h5,368,25
32206,file1002225.h5,368,2
32207,file1001242.h5,368,37
18848,file1000403.h5,368,18
18849,file1002190.h5,368,0
18850,file1000585.h5,368,7
18851,file1002342.h5,368,2
18852,file1002097.h5,368,4
18853,file1002130.h5,368,0
18854,file1002397.h5,368,4
18855,file1001982.h5,368,14
18856,file1000064.h5,368,30
18857,file1000582.h5,368,41
18858,file1000962.h5,368,10
18859,file1000131.h5,368,17
18860,file1000540.h5,368,3
18861,file1001521.h5,368,19
18862,file1000743.h5,368,9
18863,file1001856.h5,368,8
5664,file1002376.h5,372,14
5665,file1002284.h5,372,18
5666,file1002203.h5,372,6
5667,file1000248.h5,372,33
5668,file1001362.h5,372,24
5669,file1002266.h5,372,30
5670,file1002315.h5,372,22
5671,file1002203.h5,372,15
5672,file1000418.h5,372,11
5673,file1001706.h5,372,5
5674,file1000472.h5,372,12
5675,file1001646.h5,372,1
5676,file1000504.h5,372,2
5677,file1000511.h5,372,10
5678,file1001811.h5,372,7
5679,file1000088.h5,372,17
8032,file1000032.h5,372,6
8033,file1001953.h5,372,6
8034,file1001348.h5,372,2
8035,file1002054.h5,372,5
8036,file1000338.h5,372,3
8037,file1001541.h5,372,32
8038,file1001395.h5,372,15
8039,file1000521.h5,372,3
8040,file1002359.h5,372,25
8041,file1000511.h5,372,11
8042,file1001287.h5,372,15
8043,file1001584.h5,372,31
8044,file1001582.h5,372,2
8045,file1001150.h5,372,27
8046,file1001722.h5,372,33
8047,file1002485.h5,372,1
6960,file1001572.h5,372,3
6961,file1000874.h5,372,13
6962,file1002561.h5,372,3
6963,file1001706.h5,372,22
6964,file1002153.h5,372,25
6965,file1002111.h5,372,25
6966,file1001599.h5,372,7
6967,file1000566.h5,372,3
6968,file1001256.h5,372,6
6969,file1000237.h5,372,3
6970,file1002338.h5,372,0
6971,file1000715.h5,372,15
6972,file1000639.h5,372,28
6973,file1000723.h5,372,27
6974,file1000715.h5,372,6
6975,file1002561.h5,372,15
10880,file1002139.h5,372,3
10881,file1001203.h5,372,26
10882,file1001799.h5,372,28
10883,file1001236.h5,372,11
10884,file1000179.h5,372,19
10885,file1000117.h5,372,33
10886,file1000874.h5,372,29
10887,file1001392.h5,372,25
10888,file1000129.h5,372,8
10889,file1001695.h5,372,4
10890,file1000662.h5,372,6
10891,file1001071.h5,372,24
10892,file1000639.h5,372,32
10893,file1001504.h5,372,15
10894,file1001948.h5,372,25
10895,file1001741.h5,372,20
5680,file1001513.h5,372,26
5681,file1000639.h5,372,11
5682,file1001094.h5,372,26
5683,file1002300.h5,372,27
5684,file1001602.h5,372,22
5685,file1000873.h5,372,25
5686,file1001986.h5,372,35
5687,file1000662.h5,372,25
5688,file1002510.h5,372,21
5689,file1000689.h5,372,19
5690,file1001706.h5,372,7
5691,file1002475.h5,372,14
5692,file1001485.h5,372,10
5693,file1000015.h5,372,0
5694,file1001194.h5,372,27
5695,file1002478.h5,372,21
6624,file1000401.h5,372,7
6625,file1002338.h5,372,2
6626,file1001306.h5,372,7
6627,file1001185.h5,372,8
6628,file1001975.h5,372,13
6629,file1002509.h5,372,2
6630,file1001599.h5,372,12
6631,file1000259.h5,372,22
6632,file1000317.h5,372,8
6633,file1000086.h5,372,33
6634,file1001198.h5,372,5
6635,file1001915.h5,372,11
6636,file1001147.h5,372,1
6637,file1000808.h5,372,33
6638,file1002055.h5,372,15
6639,file1001449.h5,372,9
32736,file1000600.h5,368,18
32737,file1000999.h5,368,29
32738,file1000510.h5,368,24
32739,file1002444.h5,368,1
32740,file1000952.h5,368,15
32741,file1001613.h5,368,18
32742,file1001629.h5,368,16
32743,file1000376.h5,368,20
32744,file1000021.h5,368,14
32745,file1000002.h5,368,27
32746,file1000760.h5,368,11
32747,file1002409.h5,368,11
32748,file1001276.h5,368,30
32749,file1002381.h5,368,29
32750,file1002050.h5,368,26
32751,file1000383.h5,368,12
9488,file1002247.h5,372,31
9489,file1002112.h5,372,14
9490,file1001392.h5,372,26
9491,file1001214.h5,372,20
9492,file1000964.h5,372,7
9493,file1002479.h5,372,1
9494,file1001707.h5,372,8
9495,file1000981.h5,372,26
9496,file1000472.h5,372,27
9497,file1000172.h5,372,25
9498,file1000259.h5,372,26
9499,file1000084.h5,372,26
9500,file1000988.h5,372,4
9501,file1001580.h5,372,20
9502,file1002153.h5,372,24
9503,file1000070.h5,372,5
18832,file1002098.h5,368,24
18833,file1002225.h5,368,12
18834,file1002356.h5,368,34
18835,file1002195.h5,368,31
18836,file1002358.h5,368,10
18837,file1001277.h5,368,12
18838,file1002234.h5,368,25
18839,file1002046.h5,368,13
18840,file1002430.h5,368,17
18841,file1000331.h5,368,14
18842,file1000148.h5,368,22
18843,file1000371.h5,368,25
18844,file1002234.h5,368,18
18845,file1000693.h5,368,20
18846,file1000643.h5,368,31
18847,file1000002.h5,368,37
33120,file1001257.h5,368,5
33121,file1002357.h5,368,6
33122,file1000236.h5,368,18
33123,file1001991.h5,368,6
33124,file1000481.h5,368,4
33125,file1000236.h5,368,25
33126,file1001613.h5,368,8
33127,file1001420.h5,368,15
33128,file1000116.h5,368,19
33129,file1000643.h5,368,41
33130,file1001087.h5,368,19
33131,file1000475.h5,368,1
33132,file1001141.h5,368,5
33133,file1002397.h5,368,21
33134,file1001155.h5,368,12
33135,file1000223.h5,368,2
5568,file1000874.h5,372,0
5569,file1000663.h5,372,19
5570,file1000275.h5,372,3
5571,file1002343.h5,372,1
5572,file1001582.h5,372,24
5573,file1000824.h5,372,23
5574,file1001628.h5,372,33
5575,file1001494.h5,372,9
5576,file1001350.h5,372,28
5577,file1001731.h5,372,27
5578,file1000963.h5,372,23
5579,file1000015.h5,372,22
5580,file1000689.h5,372,11
5581,file1001731.h5,372,28
5582,file1001541.h5,372,17
5583,file1001478.h5,372,23
896,file1001145.h5,372,14
897,file1001026.h5,372,4
898,file1001236.h5,372,26
899,file1001741.h5,372,28
900,file1001783.h5,372,8
901,file1002343.h5,372,26
902,file1002086.h5,372,5
903,file1001495.h5,372,18
904,file1001907.h5,372,7
905,file1000529.h5,372,20
906,file1001198.h5,372,3
907,file1000222.h5,372,27
908,file1001741.h5,372,15
909,file1001496.h5,372,29
910,file1000873.h5,372,27
911,file1001495.h5,372,29
4256,file1001854.h5,372,15
4257,file1001915.h5,372,29
4258,file1001003.h5,372,19
4259,file1002367.h5,372,7
4260,file1000969.h5,372,23
4261,file1001001.h5,372,32
4262,file1001360.h5,372,9
4263,file1001665.h5,372,25
4264,file1000315.h5,372,17
4265,file1001449.h5,372,25
4266,file1002074.h5,372,17
4267,file1001568.h5,372,25
4268,file1001194.h5,372,18
4269,file1001722.h5,372,20
4270,file1000969.h5,372,28
4271,file1000848.h5,372,1
11232,file1001311.h5,372,10
11233,file1002111.h5,372,12
11234,file1000222.h5,372,30
11235,file1002235.h5,372,7
11236,file1000179.h5,372,7
11237,file1001722.h5,372,2
11238,file1001695.h5,372,14
11239,file1001568.h5,372,26
11240,file1001214.h5,372,30
11241,file1000198.h5,372,14
11242,file1001875.h5,372,27
11243,file1000740.h5,372,3
11244,file1001795.h5,372,3
11245,file1001906.h5,372,30
11246,file1000955.h5,372,27
11247,file1002023.h5,372,28
22512,file1001420.h5,368,24
22513,file1002333.h5,368,35
22514,file1002113.h5,368,32
22515,file1000807.h5,368,17
22516,file1000693.h5,368,21
22517,file1001561.h5,368,17
22518,file1001004.h5,368,7
22519,file1002228.h5,368,27
22520,file1001139.h5,368,11
22521,file1002514.h5,368,18
22522,file1000489.h5,368,8
22523,file1001432.h5,368,18
22524,file1001217.h5,368,13
22525,file1001391.h5,368,14
22526,file1000754.h5,368,5
22527,file1001814.h5,368,4
25840,file1001155.h5,368,25
25841,file1002563.h5,368,30
25842,file1000461.h5,368,19
25843,file1000851.h5,368,36
25844,file1001342.h5,368,8
25845,file1002532.h5,368,32
25846,file1000716.h5,368,2
25847,file1000807.h5,368,26
25848,file1000475.h5,368,7
25849,file1001872.h5,368,5
25850,file1000550.h5,368,3
25851,file1000400.h5,368,19
25852,file1001401.h5,368,8
25853,file1001385.h5,368,9
25854,file1001196.h5,368,13
25855,file1001355.h5,368,14
16608,file1002093.h5,368,22
16609,file1002130.h5,368,7
16610,file1000058.h5,368,17
16611,file1001737.h5,368,5
16612,file1000138.h5,368,32
16613,file1002388.h5,368,15
16614,file1001022.h5,368,18
16615,file1000626.h5,368,33
16616,file1000563.h5,368,4
16617,file1000518.h5,368,35
16618,file1001029.h5,368,23
16619,file1002333.h5,368,16
16620,file1002304.h5,368,1
16621,file1000561.h5,368,11
16622,file1000098.h5,368,9
16623,file1000486.h5,368,4
21328,file1001229.h5,368,14
21329,file1000554.h5,368,37
21330,file1001008.h5,368,2
21331,file1001860.h5,368,24
21332,file1000836.h5,368,28
21333,file1002514.h5,368,17
21334,file1001872.h5,368,6
21335,file1001062.h5,368,32
21336,file1002379.h5,368,38
21337,file1001863.h5,368,22
21338,file1002363.h5,368,8
21339,file1002357.h5,368,20
21340,file1001370.h5,368,17
21341,file1000856.h5,368,20
21342,file1001638.h5,368,24
21343,file1000188.h5,368,10
9296,file1002266.h5,372,11
9297,file1002353.h5,372,17
9298,file1000721.h5,372,30
9299,file1001572.h5,372,18
9300,file1000374.h5,372,13
9301,file1001698.h5,372,6
9302,file1001393.h5,372,26
